-518.0,62.0,-634.0
-517.0,40.0,-649.0
-537.0,44.0,-636.0
-540.0,57.0,-637.0
-552.0,45.0,-653.0
-620.0,14.0,-636.0
-637.0,0.0,-632.0
-718.0,-84.0,-613.0
-783.0,-319.0,-581.0
-846.0,-551.0,-497.0
-834.0,-730.0,-299.0
-852.0,-944.0,-174.0
-754.0,-949.0,3.0
-615.0,-882.0,-4.0
-684.0,-761.0,30.0
-734.0,-433.0,-66.0
-842.0,-232.0,-49.0
-843.0,-182.0,17.0
-782.0,-218.0,53.0
-712.0,-292.0,53.0
-661.0,-331.0,87.0
-665.0,-283.0,75.0
-621.0,-115.0,144.0
-544.0,-22.0,166.0
-425.0,83.0,153.0
-354.0,163.0,174.0
-306.0,205.0,193.0
-272.0,239.0,134.0
-220.0,290.0,113.0
-167.0,295.0,36.0
-174.0,311.0,2.0
-140.0,318.0,10.0
-164.0,281.0,19.0
-241.0,192.0,35.0
-286.0,183.0,43.0
-369.0,146.0,-9.0
-379.0,129.0,-15.0
-381.0,96.0,-26.0
-392.0,133.0,-25.0
-354.0,240.0,-10.0
-353.0,284.0,9.0
-333.0,354.0,-44.0
-351.0,367.0,-77.0
-374.0,372.0,-120.0
-397.0,379.0,-141.0
-427.0,313.0,-93.0
-462.0,268.0,-63.0
-372.0,240.0,-28.0
-308.0,224.0,26.0
-271.0,225.0,82.0
-290.0,218.0,70.0
-360.0,183.0,60.0
-371.0,187.0,62.0
-375.0,215.0,82.0
-391.0,224.0,69.0
-420.0,210.0,64.0
-426.0,179.0,93.0
-508.0,130.0,126.0
-471.0,107.0,171.0
-469.0,86.0,221.0
-471.0,78.0,226.0
-474.0,75.0,260.0
-497.0,60.0,297.0
-472.0,47.0,334.0
-451.0,13.0,390.0
-446.0,-15.0,422.0
-451.0,-30.0,461.0
-428.0,-89.0,508.0
-378.0,-127.0,501.0
-371.0,-196.0,532.0
-360.0,-230.0,533.0
-306.0,-288.0,527.0
-255.0,-261.0,470.0
-240.0,-185.0,402.0
-199.0,-133.0,312.0
-175.0,-137.0,320.0
-215.0,-120.0,326.0
-200.0,-131.0,351.0
-215.0,-20.0,351.0
-150.0,111.0,334.0
-131.0,146.0,332.0
-105.0,189.0,286.0
-63.0,212.0,266.0
-46.0,289.0,246.0
-32.0,313.0,229.0
8.0,384.0,195.0
63.0,398.0,146.0
81.0,401.0,103.0
176.0,410.0,19.0
203.0,406.0,-31.0
200.0,406.0,-91.0
170.0,398.0,-127.0
151.0,344.0,-221.0
133.0,308.0,-267.0
124.0,305.0,-273.0
115.0,300.0,-279.0
117.0,302.0,-278.0
70.0,326.0,-250.0
29.0,342.0,-199.0
62.0,391.0,-72.0
87.0,437.0,-31.0
75.0,442.0,56.0
19.0,410.0,78.0
-6.0,350.0,113.0
-38.0,324.0,207.0
-83.0,257.0,393.0
-64.0,221.0,460.0
-98.0,203.0,557.0
-91.0,108.0,667.0
-75.0,-71.0,759.0
-46.0,-246.0,807.0
2.0,-412.0,801.0
18.0,-509.0,829.0
11.0,-569.0,832.0
3.0,-544.0,861.0
26.0,-562.0,851.0
69.0,-608.0,766.0
59.0,-676.0,757.0
93.0,-761.0,751.0
115.0,-899.0,740.0
118.0,-956.0,745.0
